iter	RMSE
0	194.8072893
1	189.3661522
2	184.9073175
3	180.402563
4	176.3180261
5	172.8108714
6	169.4621221
7	166.8959951
8	164.1577273
9	161.5846062
10	159.057586
11	156.9451852
12	155.1175033
13	153.4693941
14	152.1441882
15	150.6782947
16	149.5893684
17	148.6148812
18	147.4420976
19	145.9895775
20	144.8299056
21	144.0662637
22	143.380517
23	142.4888491
24	141.770238
25	141.060788
26	140.5287583
27	140.0062984
28	139.5064658
29	139.0721971
30	138.6387486
31	138.1205694
32	137.5082121
33	137.0640314
34	136.5242786
35	136.1629573
36	135.7149011
37	135.4327999
38	135.1889934
39	134.8866405
40	134.5162068
41	134.0057434
42	133.6810882
43	133.2826569
44	133.0512428
45	132.68399
46	132.4804847
47	132.2700078
48	131.7565857
49	131.2947193
50	131.0023027
51	130.6099061
52	130.2863572
53	130.0678679
54	129.7659296
55	129.5275414
56	129.3291525
57	128.9116473
58	128.5737624
59	128.3665886
60	127.9220409
61	127.6670478
62	127.4102699
63	127.2304391
64	126.8907628
65	126.7750643
66	126.5536907
67	126.266208
68	125.9654107
69	125.7162669
70	125.5029779
71	125.1141193
72	124.7653481
73	124.5391463
74	124.2596156
75	123.8719744
76	123.6762189
77	123.4943031
78	123.3634509
79	123.055049
80	122.9028131
81	122.6794364
82	122.3741486
83	122.2082754
84	122.1017053
85	121.8197812
86	121.642329
87	121.2698596
88	121.0243533
89	120.8417983
90	120.6708741
91	120.4279665
92	120.2194669
93	119.88131
94	119.5962229
95	119.437628
96	119.1486729
97	119.0064336
98	118.8797547
99	118.6523074
