iter	Passed	Remaining
0	1	194
1	3	181
2	5	176
3	7	170
4	9	172
5	10	169
6	12	165
7	14	163
8	15	161
9	17	158
10	19	155
11	20	152
12	22	149
13	24	147
14	25	146
15	27	145
16	29	143
17	31	142
18	33	140
19	34	139
20	36	138
21	38	136
22	40	134
23	41	132
24	43	130
25	45	128
26	47	127
27	48	125
28	50	122
29	51	120
30	53	118
31	55	116
32	56	115
33	58	113
34	60	111
35	61	110
36	63	108
37	65	106
38	66	104
39	68	102
40	70	100
41	71	99
42	73	97
43	75	95
44	76	93
45	78	91
46	79	90
47	81	88
48	83	86
49	84	84
50	86	83
51	88	81
52	89	79
53	91	77
54	93	76
55	95	74
56	96	72
57	98	71
58	100	69
59	101	67
60	103	66
61	105	64
62	106	62
63	108	61
64	110	59
65	111	57
66	113	55
67	114	54
68	116	52
69	118	50
70	119	48
71	121	47
72	123	45
73	124	43
74	126	42
75	128	40
76	129	38
77	131	37
78	133	35
79	134	33
80	136	32
81	138	30
82	139	28
83	141	26
84	143	25
85	144	23
86	146	21
87	148	20
88	149	18
89	151	16
90	153	15
91	154	13
92	156	11
93	158	10
94	159	8
95	161	6
96	163	5
97	164	3
98	166	1
99	167	0
